permissions	size	month	day	year	filename
-rw-r--r--		296	Jan	21	2020	./nj_bills.iml
-rw-rw----		40440	Feb		3	2020	./scrape/s3/tmp/billPageLister-322.html
-rw-rw----		39207	Feb		3	2020	./scrape/s3/tmp/billPageLister-288.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-772.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1086.html
-rw-rw----		38873	Feb		3	2020	./scrape/s3/tmp/billPageLister-267.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1069.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-637.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-908.html
-rw-rw----		39094	Feb		3	2020	./scrape/s3/tmp/billPageLister-74.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-586.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-990.html
-rw-rw----		38659	Feb		3	2020	./scrape/s3/tmp/billPageLister-139.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-569.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-640.html
-rw-rw----		38696	Feb		3	2020	./scrape/s3/tmp/billPageLister-210.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-705.html
-rw-rw----		39768	Feb		3	2020	./scrape/s3/tmp/billPageLister-355.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-882.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-928.html
-rw-rw----		39890	Feb		3	2020	./scrape/s3/tmp/billPageLister-181.html
-rw-rw----		39503	Feb		3	2020	./scrape/s3/tmp/billPageLister-54.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-494.html
-rw-rw----		39429	Feb		3	2020	./scrape/s3/tmp/billPageLister-247.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1049.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-617.html
-rw-rw----		38997	Feb		3	2020	./scrape/s3/tmp/billPageLister-302.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-752.html
-rw-rw----		38571	Feb		3	2020	./scrape/s3/tmp/billPageLister-42.html
-rw-rw----		39392	Feb		3	2020	./scrape/s3/tmp/billPageLister-197.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-894.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-482.html
-rw-rw----		39258	Feb		3	2020	./scrape/s3/tmp/billPageLister-178.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-528.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-601.html
-rw-rw----		39314	Feb		3	2020	./scrape/s3/tmp/billPageLister-251.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-744.html
-rw-rw----		38446	Feb		3	2020	./scrape/s3/tmp/billPageLister-314.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-969.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-590.html
-rw-rw----		39061	Feb		3	2020	./scrape/s3/tmp/billPageLister-15.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-986.html
-rw-rw----		39131	Feb		3	2020	./scrape/s3/tmp/billPageLister-206.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1008.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-656.html
-rw-rw----		39938	Feb		3	2020	./scrape/s3/tmp/billPageLister-343.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-713.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-504.html
-rw-rw----		39315	Feb		3	2020	./scrape/s3/tmp/billPageLister-81.html
-rw-rw----		40105	Feb		3	2020	./scrape/s3/tmp/billPageLister-154.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-857.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-912.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-441.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1136.html
-rw-rw----		39103	Feb		3	2020	./scrape/s3/tmp/billPageLister-338.html
-rw-rw----		39483	Feb		3	2020	./scrape/s3/tmp/billPageLister-292.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-768.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1073.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-787.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-800.html
-rw-rw----		39501	Feb		3	2020	./scrape/s3/tmp/billPageLister-103.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-553.html
-rw-rw----		38731	Feb		3	2020	./scrape/s3/tmp/billPageLister-39.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-416.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-945.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-695.html
-rw-rw----		39465	Feb		3	2020	./scrape/s3/tmp/billPageLister-380.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1024.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-545.html
-rw-rw----		40607	Feb		3	2020	./scrape/s3/tmp/billPageLister-115.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-816.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-953.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-400.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-683.html
-rw-rw----		39944	Feb		3	2020	./scrape/s3/tmp/billPageLister-379.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-729.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1032.html
-rw-rw----		38340	Feb		3	2020	./scrape/s3/tmp/billPageLister-396.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-841.html
-rw-rw----		38918	Feb		3	2020	./scrape/s3/tmp/billPageLister-142.html
-rw-rw----		39921	Feb		3	2020	./scrape/s3/tmp/billPageLister-97.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-512.html
-rw-rw----		38515	Feb		3	2020	./scrape/s3/tmp/billPageLister-78.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-457.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-904.html
-rw-rw----		38772	Feb		3	2020	./scrape/s3/tmp/billPageLister-284.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1120.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-791.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1065.html
-rw-rw----		38742	Feb		3	2020	./scrape/s3/tmp/billPageLister-285.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1121.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1064.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-790.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-840.html
-rw-rw----		39325	Feb		3	2020	./scrape/s3/tmp/billPageLister-143.html
-rw-rw----		39741	Feb		3	2020	./scrape/s3/tmp/billPageLister-96.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-513.html
-rw-rw----		38948	Feb		3	2020	./scrape/s3/tmp/billPageLister-79.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-456.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-905.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-682.html
-rw-rw----		39820	Feb		3	2020	./scrape/s3/tmp/billPageLister-378.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-728.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1033.html
-rw-rw----		38858	Feb		3	2020	./scrape/s3/tmp/billPageLister-397.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-544.html
-rw-rw----		39514	Feb		3	2020	./scrape/s3/tmp/billPageLister-114.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-817.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-952.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-401.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-694.html
-rw-rw----		40055	Feb		3	2020	./scrape/s3/tmp/billPageLister-381.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1025.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-801.html
-rw-rw----		38490	Feb		3	2020	./scrape/s3/tmp/billPageLister-102.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-552.html
-rw-rw----		39642	Feb		3	2020	./scrape/s3/tmp/billPageLister-38.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-417.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-944.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1137.html
-rw-rw----		39939	Feb		3	2020	./scrape/s3/tmp/billPageLister-339.html
-rw-rw----		39513	Feb		3	2020	./scrape/s3/tmp/billPageLister-293.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-769.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-786.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-1072.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-505.html
-rw-rw----		38789	Feb		3	2020	./scrape/s3/tmp/billPageLister-80.html
-rw-rw----		39316	Feb		3	2020	./scrape/s3/tmp/billPageLister-155.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-856.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-913.html
-rw-rw----		25944	Feb		3	2020	./scrape/s3/tmp/billPageLister-440.html
